Ander Capa 	1	-1	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Ander Guevara 	4	126	0	0	0	0	1	0	0% 	0	0	0% 	1	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	91% 	0	0	0	0	0	0
Ander Herrera 	6	239	0	1	0	0	3	1	33% 	1	0	0% 	0	1	3	8	4	2	0	0	2	1	0	0	0	0	0	0	1	0	0	3	92% 	0	0	0	2	1	0
Ander Iruarrizaga 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Ander Martín 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Andoni Gorosabel 	11	713	0	0	0	0	6	0	0% 	16	4	25% 	0	2	6	5	7	9	0	0	2	0	0	0	0	0	0	0	0	0	1	5	87% 	0	1	0	0	0	0
Andoni Zubiaurre 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Andreas Christensen 	5	318	0	0	0	0	1	0	0% 	0	0	0% 	0	1	2	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	92% 	0	0	0	0	0	0
Andriy Lunin 	4	360	0	0	10	2	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89% 	0	0	0	0	0	0
André Almeida 	11	706	2	2	0	0	8	5	63% 	18	5	28% 	0	3	10	11	5	6	0	0	0	0	0	0	0	0	0	0	0	0	7	10	86% 	1	7	1	1	1	1
Andrés Guardado 	8	303	0	0	0	0	1	1	100% 	7	4	57% 	0	1	2	6	6	5	0	0	2	0	0	0	0	0	0	0	2	0	0	4	83% 	6	3	0	1	1	0
Ansu Fati 	14	468	3	3	0	0	29	10	34% 	4	2	50% 	1	5	5	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	11	6	86% 	0	0	0	1	0	0
Ante Budimir 	11	554	1	0	0	0	19	4	21% 	1	0	0% 	0	3	9	15	2	0	0	0	1	0	0	1	0	0	0	0	0	0	2	5	62% 	0	0	0	0	0	0
Antoine Griezmann 	14	773	5	3	0	0	26	13	50% 	54	11	20% 	0	11	10	7	7	11	0	0	0	0	0	0	0	0	0	0	1	0	13	24	84% 	23	8	0	2	1	0
Antonio Blanco 	3	158	0	0	0	0	0	0	0% 	0	0	0% 	0	0	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	93% 	0	0	0	0	0	0
Antonio Gomis 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Antonio Lato 	9	275	1	0	0	0	5	1	20% 	14	4	29% 	0	3	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	9	88% 	7	0	0	1	0	0
Antonio Raillo 	13	1170	1	0	0	0	4	3	75% 	0	0	0% 	0	0	10	16	15	6	0	0	5	0	0	1	0	0	0	0	7	0	1	2	86% 	0	12	0	0	0	0
